id,unicode,X,Y,population,travellers,visitors
735,1747,12670,2333,101,45,56
736,1748,12677,2337,30,15,15
737,1749,12678,2338,43,15,28
738,1750,12679,2338,226,124,102
739,1751,12683,2338,30,7,23
740,1752,12688,2333,415,140,275
741,1753,12693,2341,18,7,11
742,1754,12689,2330,257,129,128
743,1755,12719,2323,438,99,339
744,1756,12671,2331,62,3,59
745,1757,12718,2336,6625,3525,3100
746,1758,12714,2339,59,7,52
747,1759,12690,2331,425,105,320
748,1760,12712,2335,158,27,131
749,1761,12676,2330,221,17,204
750,1762,12694,2338,264,65,199
751,1763,12717,2323,150,5,145
752,1764,12704,2331,99,27,72
753,1765,12698,2338,104,14,90
754,1766,12692,2324,48,1,47
755,1767,12723,2325,132,19,113
756,1768,12719,2322,142,47,95
757,1769,12704,2330,112,44,68
758,1770,12698,2334,65,26,39
759,1771,12705,2328,56,5,51
760,1772,12702,2328,98,9,89
761,1773,12712,2337,427,205,222
762,1774,12669,2328,141,133,8
